Borough,condition,estrato,property_type,neighborhood,Area,bedrooms,bathrooms,garages,Price
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,72,3,1,0,163000000
Norte-Centro Histórico,Usado,4,Apartamento,Campo Alegre,77,2,1,0,180000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,64,3,2,1,210000000
Norte-Centro Histórico,Usado,4,Casa,Granadillo,213,5,3,4,1550000000
Norte-Centro Histórico,Usado,4,Casa,Las Mercedes,310,4,2,1,450000000
Riomar,Usado,4,Apartamento,Altos del Prado,220,3,2,2,590000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,266,4,2,1,580000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,360,4,2,2,650000000
Norte-Centro Histórico,Usado,4,Apartamento,Los Nogales,100,2,2,1,348000000
Norte-Centro Histórico,Usado,4,Apartamento,Colombia,90,3,3,1,250000000
Norte-Centro Histórico,Usado,4,Casa,Colombia,409,0,0,0,1120333700
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,501,8,10,1,760000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,106,3,2,1,345000000
Norte-Centro Histórico,Usado,4,Apartamento,Nuevo Horizonte,67,2,2,1,220000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,182,3,2,1,280000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,120,3,3,1,368000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,92,3,2,0,275000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,100,2,2,1,370000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,La Concepción,132,4,4,2,450000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,82,3,2,1,220000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,82,3,3,1,210000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,102,3,3,2,340000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,45,1,1,1,155000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,55,1,1,1,190000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,78,2,2,1,241500000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,84,2,2,1,269000000
Norte-Centro Histórico,Usado,4,Casa,La Concepción,580,5,4,1,950000000
Riomar,Usado,4,Apartamento,Altos del Prado,96,3,3,1,250000000
Sur Occidente,Usado,4,Casa,Olaya,300,3,2,1,695000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,113,3,2,1,265000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Mercedes,166,4,2,1,370000000
Norte-Centro Histórico,Inmobiliaria,4,Casa,El Porvenir,135,7,7,0,800000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,80,2,1,0,245000000
Norte-Centro Histórico,Usado,4,Casa,Colombia,469,0,0,0,600000000
Norte-Centro Histórico,Usado,4,Apartamento,Colombia,60,2,1,1,190000000
